Total duration: 2336.92 seconds
ClientID,QueryFile,Status,ExecutionTime
1,query_27.sql,success,361.6018624305725
1,query_73.sql,success,87.23530173301697
2,query_39.sql,timeout,420
1,query_89.sql,timeout,420
1,query_24.sql,timeout,420
3,query_46.sql,success,180.50695490837097
3,query_87.sql,timeout,420
1,query_64.sql,success,416.608069896698
0,query_8.sql,timeout,420
2,query_3.sql,timeout,420
2,query_94.sql,timeout,420
3,query_67.sql,timeout,420
0,query_53.sql,timeout,420
2,query_69.sql,timeout,420
1,query_83.sql,timeout,420
3,query_8.sql,timeout,420
2,query_74.sql,timeout,420
2,query_18.sql,success,170.8243498802185
3,query_61.sql,success,192.92584538459778
3,query_69.sql,timeout,420
2,query_87.sql,success,376.12514209747314
1,query_41.sql,timeout,420
0,query_54.sql,timeout,420
0,query_60.sql,success,369.7980077266693
2,query_80.sql,success,261.45311069488525
1,query_52.sql,success,245.48976826667786
0,query_4.sql,timeout,420
1,query_6.sql,timeout,420
3,query_47.sql,timeout,420
0,query_75.sql,timeout,420
2,query_83.sql,success,389.8574151992798
0,query_86.sql,timeout,420
3,query_41.sql,success,360.00597286224365
0,query_31.sql,timeout,420
1,query_10.sql,success,319.3827748298645
0,query_88.sql,timeout,420
3,query_21.sql,success,412.9022662639618
1,query_21.sql,success,404.6133191585541
2,query_40.sql,success,397.8007755279541
2,query_63.sql,timeout,420
3,query_4.sql,timeout,420
